"ID","animeID","genreID"
"1435","1","6"
"640","2","3"
"1737","3","8"
"1436","4","6"
"1104","6","4"
"2144","6","16"
"1","7","1"
"2420","7","17"
"2","8","1"
"1105","8","4"
"1825","8","9"
"1738","9","8"
"641","10","3"
"1437","10","6"
"2145","10","16"
"3","11","1"
"1438","11","6"
"2421","11","17"
"4","12","1"
"2422","12","17"
"5","13","1"
"2423","13","17"
"642","15","3"
"1106","16","4"
"1439","16","6"
"2146","16","16"
"418","17","2"
"643","18","3"
"1107","18","4"
"1739","18","8"
"2147","18","16"
"1108","21","4"
"2148","21","16"
"419","22","2"
"2424","22","17"
"6","23","1"
"644","23","3"
"2425","23","17"
"7","24","1"
"1440","24","6"
"2149","24","16"
"420","25","2"
"1109","25","4"
"2075","25","15"
"2426","25","17"
"2640","25","18"
"2427","26","17"
"2428","27","17"
"645","28","3"
"1110","28","4"
"2076","28","15"
"646","30","3"
"8","31","1"
"1953","31","13"
"2429","31","17"
"647","32","3"
"2150","32","16"
"648","33","3"
"1740","33","8"
"649","35","3"
"650","36","3"
"651","37","3"
"652","38","3"
"653","40","3"
"1111","41","4"
"2641","41","18"
"9","43","1"
"421","43","2"
"1112","43","4"
"1441","43","6"
"10","44","1"
"422","44","2"
"1442","44","6"
"11","45","1"
"423","45","2"
"1113","45","4"
"1443","45","6"
"1882","45","11"
"2023","45","14"
"2430","45","17"
"12","46","1"
"654","46","3"
"13","47","1"
"424","47","2"
"1114","47","4"
"1444","47","6"
"14","48","1"
"1115","48","4"
"1954","48","13"
"2431","48","17"
"15","49","1"
"425","49","2"
"1116","49","4"
"16","50","1"
"1117","50","4"
"655","52","3"
"656","53","3"
"657","54","3"
"2151","54","16"
"1118","55","4"
"2077","55","15"
"2152","55","16"
"17","56","1"
"426","56","2"
"1445","56","6"
"2432","56","17"
"18","57","1"
"658","57","3"
"1119","57","4"
"1446","57","6"
"2153","57","16"
"19","58","1"
"659","59","3"
"2024","59","14"
"2078","60","15"
"20","61","1"
"1826","61","9"
"660","63","3"
"21","65","1"
"661","65","3"
"1120","65","4"
"2433","65","17"
"662","66","3"
"663","68","3"
"664","69","3"
"1883","70","11"
"2025","70","14"
"665","71","3"
"1121","72","4"
"2154","72","16"
"1122","73","4"
"2155","73","16"
"1123","75","4"
"2026","75","14"
"2156","75","16"
"2079","76","15"
"22","77","1"
"1124","77","4"
"1447","77","6"
"666","79","3"
"2157","79","16"
"23","80","1"
"667","80","3"
"1125","80","4"
"668","81","3"
"1126","81","4"
"2434","81","17"
"669","82","3"
"2642","82","18"
"670","83","3"
"2158","83","16"
"24","84","1"
